#,Date-Time (CDT/CST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,08/06/2025 14:00:00,55.94,79257.60,,
2,08/06/2025 14:05:00,56.33,78049.28,,
3,08/06/2025 14:10:00,56.67,74936.32,,
4,08/06/2025 14:15:00,57.57,76206.08,,
5,08/06/2025 14:20:00,57.96,77496.32,,
6,08/06/2025 14:25:00,58.73,75059.20,,
7,08/06/2025 14:30:00,58.51,73318.40,,
8,08/06/2025 14:35:00,52.38,13931.52,,
9,08/06/2025 14:40:00,48.09,44892.16,,
10,08/06/2025 14:45:00,49.33,47104.00,,
11,08/06/2025 14:50:00,46.97,13568.00,,
12,08/06/2025 14:55:00,47.87,70369.28,,
13,08/06/2025 15:00:00,51.65,57507.84,,
14,08/06/2025 15:05:00,50.23,19573.76,,
15,08/06/2025 15:10:00,45.73,12190.72,,
16,08/06/2025 15:15:00,43.71,12180.48,,
17,08/06/2025 15:20:00,42.47,13742.08,,
18,08/06/2025 15:25:00,47.23,42004.48,,
19,08/06/2025 15:30:00,46.03,24494.08,,
20,08/06/2025 15:35:00,53.11,66027.52,,
21,08/06/2025 15:40:00,57.14,66314.24,,
22,08/06/2025 15:45:00,58.94,51384.32,,
23,08/06/2025 15:50:00,60.49,51712.00,,
24,08/06/2025 15:55:00,61.52,65495.04,,
25,08/06/2025 16:00:00,60.79,58204.16,,
26,08/06/2025 16:05:00,58.60,34508.80,,
27,08/06/2025 16:10:00,55.00,14638.08,,
28,08/06/2025 16:15:00,51.13,13793.28,,
29,08/06/2025 16:20:00,49.33,13711.36,,
30,08/06/2025 16:25:00,48.47,13967.36,,
31,08/06/2025 16:30:00,48.86,17781.76,,
32,08/06/2025 16:35:00,51.05,40949.76,,
33,08/06/2025 16:40:00,54.05,54333.44,,
34,08/06/2025 16:45:00,53.11,17213.44,,
35,08/06/2025 16:50:00,48.47,10583.04,,
36,08/06/2025 16:55:00,45.77,9991.68,,
37,08/06/2025 17:00:00,44.27,9728.00,,
38,08/06/2025 17:05:00,43.28,9651.20,,
39,08/06/2025 17:10:00,42.68,9699.84,,
40,08/06/2025 17:15:00,42.43,10475.52,,
41,08/06/2025 17:20:00,47.27,36290.56,,
42,08/06/2025 17:25:00,48.13,18872.32,,
43,08/06/2025 17:30:00,45.56,9996.80,,
44,08/06/2025 17:35:00,45.17,15523.84,,
45,08/06/2025 17:40:00,47.23,38328.32,,
46,08/06/2025 17:45:00,49.89,34232.32,,
47,08/06/2025 17:50:00,47.49,9784.32,,
48,08/06/2025 17:55:00,44.74,8391.68,,
49,08/06/2025 18:00:00,43.20,15631.36,,
50,08/06/2025 18:05:00,46.29,29276.16,,
51,08/06/2025 18:10:00,45.73,29542.40,,
52,08/06/2025 18:15:00,47.32,25886.72,,
53,08/06/2025 18:20:00,45.21,18063.36,,
54,08/06/2025 18:25:00,45.77,25047.04,,
55,08/06/2025 18:30:00,42.90,6069.76,,
56,08/06/2025 18:35:00,40.19,5675.52,,
57,08/06/2025 18:40:00,39.12,9277.44,,
58,08/06/2025 18:45:00,37.54,5099.52,,
59,08/06/2025 18:50:00,36.51,5116.16,,
60,08/06/2025 18:55:00,35.73,4648.96,,
61,08/06/2025 19:00:00,35.05,4136.96,,
62,08/06/2025 19:05:00,34.36,3854.08,,
63,08/06/2025 19:10:00,33.80,3600.64,,
64,08/06/2025 19:15:00,33.50,3367.68,,
65,08/06/2025 19:20:00,33.12,3144.96,,
66,08/06/2025 19:25:00,32.77,2926.08,,
67,08/06/2025 19:30:00,32.43,2702.08,,
68,08/06/2025 19:35:00,32.22,2503.04,,
69,08/06/2025 19:40:00,31.87,2291.84,,
70,08/06/2025 19:45:00,31.66,2206.72,,
71,08/06/2025 19:50:00,31.40,1912.96,,
72,08/06/2025 19:55:00,31.14,1726.08,,
73,08/06/2025 20:00:00,30.97,1553.28,,
74,08/06/2025 20:05:00,30.71,1378.56,,
75,08/06/2025 20:10:00,30.50,1195.20,,
76,08/06/2025 20:15:00,30.20,1004.16,,
77,08/06/2025 20:20:00,30.03,809.92,,
78,08/06/2025 20:25:00,29.77,557.44,,
79,08/06/2025 20:30:00,29.56,363.36,,
80,08/06/2025 20:35:00,29.26,245.20,,
81,08/06/2025 20:40:00,29.04,155.68,,
82,08/06/2025 20:45:00,28.83,92.20,,
83,08/06/2025 20:50:00,28.74,46.10,,
84,08/06/2025 20:55:00,28.57,18.70,,
85,08/06/2025 21:00:00,28.44,6.51,,
86,08/06/2025 21:05:00,28.48,1.94,,
87,08/06/2025 21:10:00,28.35,0.43,,
88,08/06/2025 21:15:00,28.18,0.00,,
89,08/06/2025 21:20:00,28.05,0.00,,
90,08/06/2025 21:25:00,27.93,0.00,,
91,08/06/2025 21:30:00,27.88,0.00,,
92,08/06/2025 21:35:00,27.84,0.00,,
93,08/06/2025 21:40:00,27.75,0.00,,
94,08/06/2025 21:45:00,27.75,0.00,,
95,08/06/2025 21:50:00,27.75,0.00,,
96,08/06/2025 21:55:00,27.63,0.00,,
97,08/06/2025 22:00:00,27.63,0.00,,
98,08/06/2025 22:05:00,27.58,0.00,,
99,08/06/2025 22:10:00,27.45,0.00,,
100,08/06/2025 22:15:00,27.50,0.00,,
101,08/06/2025 22:20:00,27.45,0.00,,
102,08/06/2025 22:25:00,27.41,0.00,,
103,08/06/2025 22:30:00,27.37,0.00,,
104,08/06/2025 22:35:00,27.41,0.00,,
105,08/06/2025 22:40:00,27.28,0.00,,
106,08/06/2025 22:45:00,27.28,0.00,,
107,08/06/2025 22:50:00,27.28,0.00,,
108,08/06/2025 22:55:00,27.15,0.00,,
109,08/06/2025 23:00:00,27.02,0.00,,
110,08/06/2025 23:05:00,26.94,0.00,,
111,08/06/2025 23:10:00,26.90,0.00,,
