"","date","individuals"
"1","2025-09-20",318
"2","2025-09-20",316
"3","2025-09-20",283
"4","2025-09-20",277
"5","2025-09-20",300
"6","2025-09-20",306
"7","2025-09-20",288
"8","2025-09-20",274
"9","2025-09-20",273
"10","2025-09-20",285
"11","2025-09-20",276
"12","2025-09-21",279
"13","2025-09-21",266
"14","2025-09-21",264
"15","2025-09-21",272
"16","2025-09-21",262
"17","2025-09-21",290
"18","2025-09-21",301
"19","2025-09-21",294
"20","2025-09-21",296
"21","2025-09-21",299
"22","2025-09-21",303
"23","2025-09-21",305
"24","2025-09-21",271
"25","2025-09-21",315
"26","2025-09-21",310
"27","2025-09-21",311
"28","2025-09-21",269
"29","2025-09-21",268
"30","2025-09-21",302
"31","2025-09-21",295
"32","2025-09-21",320
"33","2025-09-21",307
"34","2025-09-21",292
"35","2025-09-21",304
"36","2025-09-21",313
"37","2025-09-22",281
"38","2025-09-22",317
"39","2025-09-22",214
"40","2025-09-22",229
"41","2025-09-22",263
"42","2025-09-22",196
"43","2025-09-22",257
"44","2025-09-22",225
"45","2025-09-22",293
"46","2025-09-22",212
"47","2025-09-22",247
"48","2025-09-22",237
"49","2025-09-22",249
"50","2025-09-22",244
"51","2025-09-22",314
"52","2025-09-22",250
"53","2025-09-22",202
"54","2025-09-22",224
"55","2025-09-22",206
"56","2025-09-22",193
"57","2025-09-22",242
"58","2025-09-22",226
"59","2025-09-23",253
"60","2025-09-23",211
"61","2025-09-23",232
"62","2025-09-23",220
"63","2025-09-23",207
"64","2025-09-23",222
"65","2025-09-23",208
"66","2025-09-23",252
"67","2025-09-23",215
"68","2025-09-23",210
"69","2025-09-23",213
"70","2025-09-23",227
"71","2025-09-23",197
"72","2025-09-23",233
"73","2025-09-23",241
"74","2025-09-23",228
"75","2025-09-23",194
"76","2025-09-23",251
"77","2025-09-23",230
"78","2025-09-23",200
"79","2025-09-23",223
"80","2025-09-24",255
"81","2025-09-24",235
"82","2025-09-24",17
"83","2025-09-24",203
"84","2025-09-24",6
"85","2025-09-24",62
"86","2025-09-24",3
"87","2025-09-24",19
"88","2025-09-24",246
"89","2025-09-24",53
"90","2025-09-24",201
"91","2025-09-24",221
"92","2025-09-24",33
"93","2025-09-24",26
"94","2025-09-24",23
"95","2025-09-24",217
"96","2025-09-24",238
"97","2025-09-24",49
"98","2025-09-24",198
"99","2025-09-24",61
"100","2025-09-24",1
"101","2025-09-24",254
"102","2025-09-24",231
"103","2025-09-24",204
"104","2025-09-24",31
"105","2025-09-24",2
"106","2025-09-25",57
"107","2025-09-25",10
"108","2025-09-25",15
"109","2025-09-25",59
"110","2025-09-25",30
"111","2025-09-25",24
"112","2025-09-25",40
"113","2025-09-25",43
"114","2025-09-25",44
"115","2025-09-25",50
"116","2025-09-25",46
"117","2025-09-25",20
"118","2025-09-25",11
"119","2025-09-25",58
"120","2025-09-25",52
"121","2025-09-25",34
"122","2025-09-25",56
"123","2025-09-25",14
"124","2025-09-25",29
"125","2025-09-25",32
"126","2025-09-25",13
"127","2025-09-25",64
"128","2025-09-25",39
"129","2025-09-25",25
"130","2025-09-25",54
