"","shade_00s_70s","phosphorous_p1.p4","c3_c4","species_code","color","usda_code","block","rep","individual","note","id_v0","id_v0_noncat","id_barcode_v0","X","X.1"
"35","00s","p3","c4","paan","orange","paan4",5,5,275,"","00s-p3-c4-paan-5-275","00s-p3-c4-paan-5-275","*00s-p3-c4-paan-5-275*",NA,"*"
"36","70s","p1","c4","paan","orange","paan4",5,5,291,"","70s-p1-c4-paan-5-291","70s-p1-c4-paan-5-291","*70s-p1-c4-paan-5-291*",NA,"*"
"37","70s","p3","c4","paan","orange","paan4",6,6,371,"","70s-p3-c4-paan-6-371","70s-p3-c4-paan-6-371","*70s-p3-c4-paan-6-371*",NA,"*"
"38","00s","p2","c4","paco","green","paco2",1,1,12,"","00s-p2-c4-paco-1-12","00s-p2-c4-paco-1-12","*00s-p2-c4-paco-1-12*",NA,"*"
"39","00s","p4","c4","paco","green","paco2",1,1,28,"","00s-p4-c4-paco-1-28","00s-p4-c4-paco-1-28","*00s-p4-c4-paco-1-28*",NA,"*"
"40","70s","p1","c4","paco","green","paco2",1,1,36,"","70s-p1-c4-paco-1-36","70s-p1-c4-paco-1-36","*70s-p1-c4-paco-1-36*",NA,"*"
"41","70s","p4","c4","paco","green","paco2",1,1,60,"","70s-p4-c4-paco-1-60","70s-p4-c4-paco-1-60","*70s-p4-c4-paco-1-60*",NA,"*"
"42","70s","p3","c4","paco","green","paco2",2,2,116,"","70s-p3-c4-paco-2-116","70s-p3-c4-paco-2-116","*70s-p3-c4-paco-2-116*",NA,"*"
"43","70s","p4","c4","paco","green","paco2",3,3,188,"","70s-p4-c4-paco-3-188","70s-p4-c4-paco-3-188","*70s-p4-c4-paco-3-188*",NA,"*"
"44","70s","p2","c4","paco","green","paco2",4,4,236,"","70s-p2-c4-paco-4-236","70s-p2-c4-paco-4-236","*70s-p2-c4-paco-4-236*",NA,"*"
"45","00s","p1","c4","paco","green","paco2",5,5,260,"","00s-p1-c4-paco-5-260","00s-p1-c4-paco-5-260","*00s-p1-c4-paco-5-260*",NA,"*"
"46","00s","p4","c4","paco","green","paco2",5,5,284,"","00s-p4-c4-paco-5-284","00s-p4-c4-paco-5-284","*00s-p4-c4-paco-5-284*",NA,"*"
"47","70s","p3","c4","paco","green","paco2",5,5,308,"","70s-p3-c4-paco-5-308","70s-p3-c4-paco-5-308","*70s-p3-c4-paco-5-308*",NA,"*"
"48","00s","p3","c4","paco","green","paco2",6,6,340,"","00s-p3-c4-paco-6-340","00s-p3-c4-paco-6-340","*00s-p3-c4-paco-6-340*",NA,"*"
"49","70s","p1","c4","paco","green","paco2",6,6,356,"","70s-p1-c4-paco-6-356","70s-p1-c4-paco-6-356","*70s-p1-c4-paco-6-356*",NA,"*"
"50","70s","p4","c4","paco","green","paco2",6,6,380,"","70s-p4-c4-paco-6-380","70s-p4-c4-paco-6-380","*70s-p4-c4-paco-6-380*",NA,"*"
"51","00s","p3","c4","paha","pink","paha",1,1,18,"","00s-p3-c4-paha-1-18","00s-p3-c4-paha-1-18","*00s-p3-c4-paha-1-18*",NA,"*"
"52","70s","p2","c4","paha","pink","paha",1,1,42,"","70s-p2-c4-paha-1-42","70s-p2-c4-paha-1-42","*70s-p2-c4-paha-1-42*",NA,"*"
"53","00s","p3","c4","paha","pink","paha",2,2,82,"","00s-p3-c4-paha-2-82","00s-p3-c4-paha-2-82","*00s-p3-c4-paha-2-82*",NA,"*"
"54","00s","p4","c4","paha","pink","paha",4,4,218,"","00s-p4-c4-paha-4-218","00s-p4-c4-paha-4-218","*00s-p4-c4-paha-4-218*",NA,"*"
"55","70s","p2","c4","paha","pink","paha",4,4,234,"","70s-p2-c4-paha-4-234","70s-p2-c4-paha-4-234","*70s-p2-c4-paha-4-234*",NA,"*"
"56","00s","p1","c4","paha","pink","paha",5,5,258,"","00s-p1-c4-paha-5-258","00s-p1-c4-paha-5-258","*00s-p1-c4-paha-5-258*",NA,"*"
"57","00s","p4","c4","paha","pink","paha",5,5,282,"","00s-p4-c4-paha-5-282","00s-p4-c4-paha-5-282","*00s-p4-c4-paha-5-282*",NA,"*"
"58","70s","p2","c4","paha","pink","paha",5,5,298,"","70s-p2-c4-paha-5-298","70s-p2-c4-paha-5-298","*70s-p2-c4-paha-5-298*",NA,"*"
"59","00s","p3","c3","patr","blue","patr3",1,1,22,"","00s-p3-c3-patr-1-22","00s-p3-c3-patr-1-22","*00s-p3-c3-patr-1-22*",NA,"*"
"60","70s","p1","c3","patr","blue","patr3",1,1,38,"","70s-p1-c3-patr-1-38","70s-p1-c3-patr-1-38","*70s-p1-c3-patr-1-38*",NA,"*"
"61","00s","p3","c3","patr","blue","patr3",2,2,86,"","00s-p3-c3-patr-2-86","00s-p3-c3-patr-2-86","*00s-p3-c3-patr-2-86*",NA,"*"
"62","00s","p2","c3","patr","blue","patr3",5,5,270,"","00s-p2-c3-patr-5-270","00s-p2-c3-patr-5-270","*00s-p2-c3-patr-5-270*",NA,"*"
"63","00s","p3","c3","patr","blue","patr3",5,5,278,"","00s-p3-c3-patr-5-278","00s-p3-c3-patr-5-278","*00s-p3-c3-patr-5-278*",NA,"*"
"64","00s","p4","c3","patr","blue","patr3",5,5,286,"","00s-p4-c3-patr-5-286","00s-p4-c3-patr-5-286","*00s-p4-c3-patr-5-286*",NA,"*"
"65","00s","p3","c3","patr","blue","patr3",6,6,342,"","00s-p3-c3-patr-6-342","00s-p3-c3-patr-6-342","*00s-p3-c3-patr-6-342*",NA,"*"
"66","00s","p2","c4","pavi","white","pavi2",1,1,9,"","00s-p2-c4-pavi-1-9","00s-p2-c4-pavi-1-9","*00s-p2-c4-pavi-1-9*",NA,"*"
"67","70s","p4","c4","pavi","white","pavi2",3,3,185,"","70s-p4-c4-pavi-3-185","70s-p4-c4-pavi-3-185","*70s-p4-c4-pavi-3-185*",NA,"*"
"68","00s","p3","c4","pavi","white","pavi2",4,4,209,"","00s-p3-c4-pavi-4-209","00s-p3-c4-pavi-4-209","*00s-p3-c4-pavi-4-209*",NA,"*"
"69","00s","p2","c4","pavi","white","pavi2",5,5,265,"","00s-p2-c4-pavi-5-265","00s-p2-c4-pavi-5-265","*00s-p2-c4-pavi-5-265*",NA,"*"
"70","70s","p1","c4","pavi","white","pavi2",5,5,289,"","70s-p1-c4-pavi-5-289","70s-p1-c4-pavi-5-289","*70s-p1-c4-pavi-5-289*",NA,"*"
"71","70s","p2","c4","pavi","white","pavi2",5,5,297,"","70s-p2-c4-pavi-5-297","70s-p2-c4-pavi-5-297","*70s-p2-c4-pavi-5-297*",NA,"*"
"72","00s","p1","c4","pavi","white","pavi2",6,6,321,"","00s-p1-c4-pavi-6-321","00s-p1-c4-pavi-6-321","*00s-p1-c4-pavi-6-321*",NA,"*"
"73","00s","p3","c4","pavi","white","pavi2",6,6,337,"","00s-p3-c4-pavi-6-337","00s-p3-c4-pavi-6-337","*00s-p3-c4-pavi-6-337*",NA,"*"
"74","70s","p3","c4","pavi","white","pavi2",6,6,369,"","70s-p3-c4-pavi-6-369","70s-p3-c4-pavi-6-369","*70s-p3-c4-pavi-6-369*",NA,"*"
