block,shade_00s_70s,color,ID,note
1,00s,yellow,21,
1,00s,orange,27,
1,00s,green,12,
1,00s,green,28,
1,00s,pink,18,
1,00s,blue,22,
1,00s,white,9,
2,00s,pink,82,
2,00s,blue,86,
4,00s,purple,199,
4,00s,yellow,205,
4,00s,red,216,
4,00s,orange,195,
4,00s,orange,219,
4,00s,pink,218,
4,00s,white,209,
5,00s,purple,287,
5,00s,yellow,261,
5,00s,red,280,
5,00s,orange,259,
5,00s,orange,267,
5,00s,orange,275,
5,00s,green,260,
5,00s,green,284,
5,00s,pink,258,
5,00s,pink,282,
5,00s,blue,270,
5,00s,blue,278,
5,00s,blue,286,
5,00s,white,265,
6,00s,purple,343,
6,00s,purple,351,
6,00s,yellow,325,
6,00s,green,340,
6,00s,blue,342,
6,00s,white,321,
6,00s,white,337,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,70s,purple,55,
1,70s,yellow,45,
1,70s,orange,35,
1,70s,orange,51,
1,70s,green,36,
1,70s,green,60,
1,70s,pink,42,
1,70s,blue,38,
2,70s,purple,103,
2,70s,yellow,109,
2,70s,red,112,
2,70s,red,120,
2,70s,green,116,
3,70s,orange,179,
3,70s,green,188,
3,70s,white,185,
4,70s,purple,239,
4,70s,yellow,245,
4,70s,red,240,
4,70s,red,248,
4,70s,red,256,
4,70s,orange,243,
4,70s,green,236,
4,70s,pink,234,
5,70s,purple,319,
5,70s,yellow,309,
5,70s,red,312,
5,70s,orange,291,
5,70s,green,308,
5,70s,pink,298,
5,70s,white,289,
5,70s,white,297,
6,70s,purple,375,
6,70s,orange,371,
6,70s,green,356,
6,70s,green,380,
6,70s,white,369,
